...1,project_reference,academic_year,mobility_start_month,mobility_end_month,mobility_duration,activity_mob,participant_nationality,participant_gender,participant_profile,special_needs,fewer_opportunities,group_leader,participant_age,sending_country_code,sending_city,sending_organization,receiving_country_code,receiving_city,receiving_organization
149,2014-1-AT02-KA347-000144,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Female,Learner,No,No,No,32,AT,St. P?lten,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
150,2014-1-AT02-KA347-000144,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Male,Learner,No,No,No,26,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
151,2014-1-AT02-KA347-000144,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Male,Learner,No,No,No,28,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
152,2014-1-AT02-KA347-000144,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Male,Learner,No,No,No,29,AT,Langenwang,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
153,2014-1-AT02-KA347-000144,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Male,Learner,No,No,No,29,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
154,2014-1-AT02-KA347-000144,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Male,Learner,No,No,No,31,AT,Bregenz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
155,2014-1-AT02-KA347-000144,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Male,Learner,No,No,No,31,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
156,2014-1-AT02-KA347-000144,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Male,Learner,No,No,No,31,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
157,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,0,AT,Wien,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
158,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,16,AT,9560 Feldkirchen,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
159,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,19,AT,6020 Innsbruck,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Salzburg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
160,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,23,AT,8983 Bad Mitterndorf,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
161,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,24,AT,8010 Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
